Ca,CdTe,M_Cd,2.065,2,1,4,2,0,0,4,0.05,-72.332,0.33,-277.9,0.481,-156,-0.69,-28,0,1.404,2.995,0.864,0.864,0.865
Nb,CdTe,M_i_Te_site,0.569,0,3,5,5,0.75,3,4,0.64,92.9064,1.34,664,1.429,96,1.6,41,5,3.679,3.664,4.433,4.762,5.972
P,CdSe,M_i_old,1.314,0,1,3,15,0.5,3,3,0.17,30.97376,1.06,1011.7,1.28,71.7,2.19,15,5,2.77,2.755,4.059,3.767,3.913
Mo,CdTe,M_i_Cd_site,1.309,0,0,5,6,0.25,4,3,0.59,95.94,1.3,684.9,1.362,96,2.16,42,6,3.651,3.636,4.703,4.703,5.455
S,CdS,M_i_S_site,-0.047,0,2,3,16,0.75,3,4,0.29,32.066,1.02,999.58,1.27,200.42,2.58,16,6,2.945,2.93,5.371,4.712,4.052
Hg,CdTe,M_i_Cd_site,2.415,0,-2,6,12,0.25,4,3,1.02,200.59,1.49,1007,1.6,0,2,80,2,3.249,3.264,1.896,1.579,1.873
C,CdTe,M_i_old,2.418,0,-2,2,14,0.5,3,3,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4,3.199,3.184,6.525,6.525,6.525
Si,CdTe,M_Cd,-0.834,2,5,3,14,0,0,4,-0.69,-84.3245,-0.3,-81.3,-0.169,133.6,0.21,-34,2,2.928,3.408,2.229,1.755,1.281
Cr,CdTe,M_i_Te_site,-0.073,0,2,4,6,0.75,3,4,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6,3.74,3.725,1.993,2.632,3.398
Mo,CdTe,M_Te,0.68,-2,-1,5,6,1,4,0,-0.38,-31.66,-0.06,-184.3,-0.238,-94.15,0.06,-10,0,2.664,2.649,5.68,6.155,7.381
Te,CdTe,M_i_Cd_site,2.222,0,-2,5,16,0.25,4,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6,3.864,3.849,3.427,2.953,2.478
C,CdTe,M_i_Te_site,1.36,0,0,2,14,0.75,3,4,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4,3.426,3.411,6.847,6.847,6.847
Rh,CdTe,M_Cd,1.424,2,1,5,9,0,0,4,-0.28,-9.5045,-0.16,-147.7,-0.144,120,0.59,-3,4,2.403,2.388,2.848,2.843,3.319
S,CdTe,M_i_old,0.345,0,2,3,16,0.5,3,3,0.29,32.066,1.02,999.58,1.27,200.42,2.58,16,6,2.499,2.484,3.538,3.064,2.59
