Cu,CdTe_0.5Se_0.5,M_Cd,-0.968,2,5,4,11,0,0,4,-0.22,-48.954,-0.24,-122.3,-0.211,118.3,0.21,-19,0,0.916,0.901,2.305,1.27,1.191
Al,CdTe_0.5Se_0.5,M_Cd,-0.926,2,5,3,13,0,0,4,-0.41,-85.42846,-0.23,-290.1,-0.059,45,-0.08,-35,1,2.913,2.898,0.842,1.336,1.829
Se,CdTe_0.5Se_0.5,M_Cd,-0.803,2,5,4,16,0,0,4,-0.45,-33.45,-0.25,73.2,-0.089,194.96,0.86,-14,4,2.167,2.152,4.183,3.064,1.944
Te,CdTe_0.5Se_0.5,M_Cd,-0.723,2,5,5,16,0,0,4,0.02,15.19,-0.05,1.5,0.111,190.15,0.41,4,4,2.549,2.534,3.968,3.02,2.072
Cu,CdTe_0.5Se_0.5,M_Cd,-0.636,2,4,4,11,0,0,4,-0.22,-48.954,-0.24,-122.3,-0.211,118.3,0.21,-19,0,0.916,0.901,2.305,1.27,1.191
Al,CdTe_0.5Se_0.5,M_Cd,-0.579,2,4,3,13,0,0,4,-0.41,-85.42846,-0.23,-290.1,-0.059,45,-0.08,-35,1,2.913,2.898,0.842,1.336,1.829
Cu,CdTe_0.5Se_0.5,M_Cd,-0.284,2,3,4,11,0,0,4,-0.22,-48.954,-0.24,-122.3,-0.211,118.3,0.21,-19,0,0.916,0.901,2.305,1.27,1.191
Se,CdTe_0.5Se_0.5,M_Cd,0.123,2,4,4,16,0,0,4,-0.45,-33.45,-0.25,73.2,-0.089,194.96,0.86,-14,4,2.167,2.152,4.183,3.064,1.944
Cu,CdTe_0.5Se_0.5,M_Cd,0.15,2,2,4,11,0,0,4,-0.22,-48.954,-0.24,-122.3,-0.211,118.3,0.21,-19,0,0.916,0.901,2.305,1.27,1.191
Te,CdTe_0.5Se_0.5,M_Cd,0.171,2,4,5,16,0,0,4,0.02,15.19,-0.05,1.5,0.111,190.15,0.41,4,4,2.549,2.534,3.968,3.02,2.072
Te,CdTe_0.5Se_0.5,M_Cd,0.458,2,3,5,16,0,0,4,0.02,15.19,-0.05,1.5,0.111,190.15,0.41,4,4,2.549,2.534,3.968,3.02,2.072
