Nb,CdTe,M_i_Te_site,4.417,4.746,5.956,5,5,0.75,0.64,92.9064,1.34,664,1.429,96,1.6,41,5,3,4,3.679,3.664,4.433,4.762,5.972
Si,CdTe,M_Cd,2.244,1.770,1.296,3,14,0,-0.69,-84.3245,-0.3,-81.3,-0.169,133.6,0.21,-34,2,0,4,2.928,3.408,2.229,1.755,1.281
Cr,CdSe,M_i_Se_site,1.709,2.605,3.622,4,6,0.75,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6,3,4,2.858,2.843,2.229,3.125,4.142
Mo,CdS,M_S,6.618,8.512,10.469,5,6,1,0.3,63.874,0.28,-314.68,0.092,-104.42,-0.42,26,0,4,0,2.833,2.818,6.605,8.499,10.456
S,CdSe,M_i_old,4.309,3.671,3.019,3,16,0.5,0.29,32.066,1.02,999.58,1.27,200.42,2.58,16,6,3,3,2.160,2.145,4.208,3.570,2.918
Sr,CdSe,M_i_Se_site,3.038,3.683,4.328,5,2,0.75,1.26,87.62,1.91,549.5,2.15,168,0.95,38,2,3,4,3.221,3.206,4.931,5.576,6.221
I,CdS,M_i_S_site,5.656,5.331,5.007,5,17,0.75,2.2,126.9045,1.33,1008.4,1.33,295.3,2.66,53,7,3,4,3.806,3.791,6.759,6.435,6.110
Li,CdTe,M_i_Cd_site,1.338,1.344,1.582,2,1,0.25,0.76,6.941,1.23,520.2,1.55,59.8,0.98,3,1,4,3,3.729,3.714,1.615,1.621,1.859
Ba,CdTe,M_i_Cd_site,3.274,3.748,4.223,6,2,0.25,1.42,137.33,1.98,502.9,2.22,-52,0.89,56,2,4,3,4.383,4.383,4.187,4.661,5.136
Ga,CdTe,M_i_Cd_site,1.617,2.002,2.575,4,13,0.25,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,4,3,3.673,3.658,1.506,1.892,2.464
Au,CdTe,M_i_Cd_site,2.904,1.877,2.047,6,11,0.25,0.85,196.9665,1.34,890.1,1.442,222.74,2.54,79,3,4,3,3.287,3.272,2.552,1.525,1.695
Ga,CdS,M_i_S_site,2.374,3.053,4.027,4,13,0.75,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,3,4,3.889,3.873,3.207,3.886,4.859
Na,CdTe,M_Te,3.178,3.890,4.747,3,1,1,0.05,-104.61023,0.18,-373.4,0.3,-137.45,-1.17,-41,-5,4,0,3.083,3.068,2.788,3.499,4.357
Li,CdTe,M_i_old,1.400,1.406,1.644,2,1,0.5,0.76,6.941,1.23,520.2,1.55,59.8,0.98,3,1,3,3,3.810,3.795,1.686,1.692,1.930
In,CdSe,M_i_Cd_site,2.708,2.572,3.489,5,13,0.25,0.8,114.82,1.44,558.3,1.66,29,1.78,49,3,4,3,3.269,3.254,3.202,3.066,3.983
Sc,CdSe,M_i_Cd_site,3.364,4.331,5.299,4,3,0.25,0.75,44.9559,1.44,631,1.606,18.1,1.36,21,3,4,3,3.234,3.219,4.477,5.445,6.412
In,CdTe,M_Cd,1.591,0.737,0.934,5,13,0,-0.15,2.41,0.03,-309.4,0.171,29,0.09,1,1,0,4,3.342,3.327,1.577,0.723,0.920
V,CdSe,M_Se,4.746,6.251,8.123,4,5,1,0.04,-28.0185,0.06,-290.9,-0.079,144.96,0.92,11,1,4,0,1.724,1.709,4.742,6.247,8.120
Ti,CdSe,M_i_Cd_site,3.362,4.288,5.578,4,4,0.25,0.61,47.88,1.32,658,1.448,20,1.54,22,4,4,3,3.126,3.111,4.243,5.169,6.459
Ti,CdS,M_i_S_site,4.077,4.983,6.312,4,4,0.75,0.61,47.88,1.32,658,1.448,20,1.54,22,4,3,4,3.815,3.800,4.958,5.863,7.192
F,CdSe,M_Se,1.297,1.623,1.942,2,17,1,0.83,-59.9616,-0.44,740.1,-0.68,133.04,1.43,25,5,4,0,1.834,1.819,1.408,1.734,2.053
F,CdTe,M_Te,1.758,1.995,2.233,2,17,1,0.36,-108.6016,-0.64,811.8,-0.88,137.85,1.88,-43,-5,4,0,2.602,2.587,1.743,1.981,2.218
Rh,CdS,M_S,3.965,5.490,7.065,5,9,1,0.38,70.8395,0.23,-279.58,0.075,-80.42,-0.3,29,0,4,0,1.597,1.582,3.932,5.457,7.031
W,CdTe,M_Te,7.942,8.417,8.891,6,6,1,-0.37,56.25,-0.06,-99.2,-0.23,-130.15,0.26,22,0,4,0,2.111,2.096,7.727,8.201,8.676
C,CdS,M_i_S_site,7.658,7.658,7.658,2,14,0.75,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4,3,4,2.951,2.936,7.565,7.565,7.565
La,CdSe,M_i_Cd_site,3.514,4.482,5.636,6,3,0.25,1.16,138.9055,1.25,538.1,1.877,50,1.1,57,3,4,3,3.701,3.686,5.250,6.218,7.372
Mn,CdS,M_Cd,0.331,0.328,0.733,4,7,0,-0.28,-57.472,-0.24,-150.3,-0.249,0,-0.14,-23,5,0,4,1.338,2.119,0.399,0.396,0.801
Nb,CdSe,M_i_old,4.249,5.175,6.584,5,5,0.5,0.64,92.9064,1.34,664,1.429,96,1.6,41,5,3,3,2.877,2.862,5.001,5.927,7.336
Re,CdTe,M_Cd,4.700,4.226,3.752,6,7,0,-0.42,73.797,-0.13,-107.7,-0.119,14,0.21,27,5,0,4,2.859,2.844,4.349,3.875,3.401
Ga,CdS,M_i_old,2.937,3.616,4.589,4,13,0.5,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,3,3,3.837,3.822,3.670,4.349,5.322
Sb,CdTe,M_i_Cd_site,4.910,5.621,6.333,5,15,0.25,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5,4,3,3.854,3.839,3.996,4.707,5.420
Cr,CdTe,M_i_Te_site,1.830,2.470,3.235,4,6,0.75,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6,3,4,3.740,3.725,1.993,2.632,3.398
Os,CdTe,M_i_old,5.264,5.264,5.264,6,8,0.5,0.63,190.2,1.26,840,1.34,110,2.2,76,8,3,3,3.333,3.318,5.313,5.313,5.313
Mo,CdS,M_i_Cd_site,5.350,6.584,7.882,5,6,0.25,0.59,95.94,1.3,684.9,1.362,96,2.16,42,6,4,3,4.092,4.077,5.845,7.079,8.377
Hg,CdSe,M_Se,2.260,2.628,3.595,6,12,1,0.52,121.63,0.33,66.1,0.2,194.96,0.55,46,4,4,0,2.340,2.325,1.970,2.338,3.304
Bi,CdTe,M_i_Cd_site,3.531,3.531,4.128,6,15,0.25,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5,4,3,4.147,4.132,2.666,2.666,3.263
Cu,CdSe,M_i_Cd_site,2.775,2.153,2.609,4,11,0.25,0.73,63.456,1.17,745.4,1.278,118.3,1.9,29,2,4,3,2.464,2.449,2.767,2.146,2.602
Pt,CdS,M_i_Cd_site,4.035,3.386,4.258,6,10,0.25,0.63,195.08,1.3,870,1.38,205.3,2.28,78,4,4,3,3.119,3.104,3.664,3.015,3.887
Os,CdS,M_S,6.118,6.778,7.437,6,8,1,0.34,158.134,0.24,-159.58,0.07,-90.42,-0.38,60,2,4,0,1.821,2.197,6.192,6.852,7.512
Re,CdTe,M_i_old,5.922,5.922,5.922,6,7,0.5,0.53,186.207,1.28,760,1.37,14,1.9,75,7,3,3,3.442,3.427,5.974,5.974,5.974
Ir,CdSe,M_i_old,3.902,3.902,4.327,6,9,0.5,0.63,192.22,1.27,880,1.357,150,2.2,77,3,3,3,2.197,2.182,3.937,3.937,4.361
F,CdTe,M_i_old,2.605,2.368,2.131,2,17,0.5,1.33,18.9984,0.72,1681,0.72,328,3.98,9,1,3,3,1.551,1.536,2.085,1.848,1.611
Ir,CdTe,M_Te,3.951,4.425,5.231,6,9,1,-0.34,64.62,-0.09,10.8,-0.243,-40.15,0.1,25,-3,4,0,1.653,1.638,3.935,4.409,5.215
Se,CdTe,M_Cd,4.609,3.661,2.713,4,16,0,-0.45,-33.45,-0.25,73.2,-0.089,194.96,0.86,-14,4,0,4,2.761,2.746,4.114,3.166,2.218
Nb,CdTe,M_i_Cd_site,4.188,4.517,5.727,5,5,0.25,0.64,92.9064,1.34,664,1.429,96,1.6,41,5,4,3,3.801,3.786,4.139,4.468,5.678
Te,CdSe,M_i_old,4.703,4.065,3.582,5,16,0.5,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6,3,3,2.835,2.820,5.416,4.778,4.295
Y,CdS,M_S,7.857,9.490,11.123,5,3,1,0.73,56.8399,0.6,-383.58,0.54,-200.42,-1.36,23,-3,4,0,3.407,3.392,8.265,9.898,11.531
Ta,CdSe,M_i_Cd_site,4.693,4.693,4.828,6,5,0.25,0.64,180.9479,1.34,761,1.43,60,1.5,73,5,4,3,3.108,3.093,5.656,5.656,5.791
Ni,CdS,M_i_old,2.377,2.332,3.010,4,10,0.5,0.69,58.6934,1.15,736.7,1.246,111,1.91,28,3,3,3,2.827,2.812,2.393,2.348,3.026
B,CdTe,M_Cd,3.478,3.004,2.530,2,13,0,-0.72,-101.599,-0.59,-67.1,-0.509,27,0.35,-43,1,0,4,3.315,3.300,3.794,3.320,2.846
Bi,CdTe,M_i_old,3.429,3.429,4.026,6,15,0.5,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5,3,3,4.225,4.210,3.814,3.814,4.411
Be,CdS,M_i_S_site,2.804,3.453,4.129,2,2,0.75,0.45,9.01218,0.9,899.4,1.12,-240,1.57,4,2,3,4,3.680,3.680,3.063,3.712,4.388
Tl,CdTe,M_Te,2.359,3.037,3.782,6,13,1,0.62,76.783,0.12,-279.9,0.11,-160.15,-0.06,29,-3,4,0,2.891,2.876,1.869,2.547,3.292
Ag,CdSe,M_Cd,2.293,1.226,0.766,5,11,0,0.2,-4.542,-0.07,-136.7,-0.045,125.7,0.24,1,0,0,4,0.420,0.405,2.186,1.119,0.659
Te,CdS,M_S,0.438,0.451,0.636,5,16,1,0.68,95.534,0.34,-130.38,0.33,-10.27,-0.48,36,0,4,0,1.478,2.453,0.670,0.683,0.869
Zr,CdTe,M_Cd,2.094,2.304,3.167,5,4,0,-0.11,-21.186,0.04,-207.7,0.111,50,-0.36,-8,2,0,4,3.362,3.347,2.148,2.358,3.222
N,CdTe,M_i_Te_site,4.580,4.501,4.422,2,15,0.75,1.71,14.0067,0.75,1402.3,0.92,-7,3.04,7,5,3,4,1.926,2.586,4.617,4.538,4.459
F,CdTe,M_Cd,5.079,4.368,3.657,2,17,0,0.38,-93.4116,-0.69,813.3,-0.769,328,2.29,-39,-1,0,4,1.728,1.713,4.942,4.231,3.520
Rb,CdSe,M_i_Cd_site,2.119,2.442,3.197,5,1,0.25,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4,4,3,3.706,3.691,3.542,3.864,4.619
Ba,CdS,M_i_S_site,4.794,5.443,6.187,6,2,0.75,1.42,137.33,1.98,502.9,2.22,-52,0.89,56,2,3,4,4.973,4.958,7.705,8.354,9.097
Hf,CdTe,M_i_old,3.777,3.777,3.777,6,4,0.5,0.83,178.49,1.44,642,1.564,0,1.3,72,4,3,3,3.806,3.791,4.154,4.154,4.154
Hf,CdS,M_i_S_site,3.704,4.451,5.718,6,4,0.75,0.83,178.49,1.44,642,1.564,0,1.3,72,4,3,4,4.307,4.292,4.565,5.312,6.579
Ag,CdTe,M_Te,2.484,2.584,3.182,5,11,1,0.18,-19.732,-0.02,-138.2,-0.156,-64.45,-0.17,-5,-4,4,0,2.634,2.619,2.110,2.210,2.808
I,CdTe,M_i_Cd_site,3.811,3.574,3.337,5,17,0.25,2.2,126.9045,1.33,1008.4,1.33,295.3,2.66,53,7,4,3,3.556,3.541,4.081,3.844,3.607
Ru,CdS,M_S,5.011,6.029,7.987,5,8,1,0.33,69.004,0.23,-288.58,0.055,-90.42,-0.38,28,2,4,0,1.794,2.154,5.086,6.104,8.062
Tc,CdSe,M_i_Cd_site,4.874,4.874,4.874,5,7,0.25,0.56,98,1.27,702,1.358,70,1.9,43,7,4,3,2.643,2.628,4.932,4.932,4.932
Os,CdSe,M_i_old,5.493,5.493,5.493,6,8,0.5,0.63,190.2,1.26,840,1.34,110,2.2,76,8,3,3,2.500,2.485,5.664,5.664,5.664
Ni,CdSe,M_Se,3.227,3.646,4.978,4,10,1,0.19,-20.2666,-0.01,-204.2,-0.154,83.96,0.64,6,3,4,0,0.888,1.248,3.186,3.605,4.936
Hg,CdS,M_i_Cd_site,2.862,2.507,2.767,6,12,0.25,1.02,200.59,1.49,1007,1.6,0,2,80,2,4,3,4.017,4.002,3.577,3.222,3.482
Ru,CdSe,M_Se,4.786,5.431,7.323,5,8,1,0.12,22.11,0.09,-229.9,-0.075,84.96,0.35,10,2,4,0,1.012,1.357,4.765,5.410,7.301
Rb,CdS,M_i_S_site,3.284,3.609,4.533,5,1,0.75,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4,3,4,4.081,4.066,4.889,5.215,6.138
V,CdTe,M_Te,4.232,5.184,6.523,4,5,1,-0.43,-76.6585,-0.14,-219.2,-0.279,-140.15,-0.47,-29,-1,4,0,2.561,2.546,4.121,5.073,6.412
Sb,CdTe,M_Cd,3.870,4.107,4.346,5,15,0,-0.19,9.347,-0.01,-34,0.101,101,0.36,3,3,0,4,3.390,3.375,3.867,4.104,4.342
