C,CdTe,M_i_Te_site,6.943,6.943,6.943,0.014,0.041,0.039,0.030,0.040,0.006,0.004,0.023,0.053,0.024,0.028,0.050,0.005,0.033,0.036,0.036,0.055,0.052,0.045
Cd,CdSe,M_Se,2.077,3.360,4.644,0.035,0.035,0.052,0.040,0.000,0.017,0.011,0.007,-0.004,0.002,0.044,0.017,0.011,0.033,0.024,0.024,0.014,0.023,0.029
Al,CdS,M_Cd,0.310,0.632,0.952,0.021,0.038,0.000,0.000,0.040,-0.016,-0.029,-0.007,-0.014,-0.002,0.010,-0.002,-0.029,0.008,0.039,0.038,0.008,0.010,0.011
As,CdSe,M_Se,1.339,1.461,2.371,0.028,0.044,0.052,0.040,0.000,0.003,-0.001,0.001,0.000,0.000,0.027,0.008,0.001,0.008,0.006,0.006,0.010,0.010,0.015
Se,CdSe,M_i_Se_site,4.671,4.026,3.381,0.028,0.047,0.039,0.030,0.040,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.028,0.028,0.039,0.032,0.024
As,CdSe,M_i_old,3.784,3.261,3.526,0.028,0.044,0.026,0.030,0.030,0.022,0.025,0.036,0.046,0.037,0.018,0.042,0.027,0.041,0.031,0.030,0.033,0.027,0.026
O,CdSe,M_Cd,6.726,5.450,4.233,0.014,0.047,0.000,0.000,0.040,0.017,-0.032,-0.020,0.022,-0.020,0.032,0.034,0.033,0.000,0.009,0.009,0.052,0.040,0.027
N,CdSe,M_Cd,6.001,5.256,4.509,0.014,0.044,0.000,0.000,0.040,0.029,-0.033,-0.020,0.026,-0.015,0.002,0.026,0.034,0.025,0.012,0.012,0.047,0.039,0.030
Nb,CdS,M_S,7.171,8.870,10.695,0.035,0.015,0.052,0.040,0.000,0.014,0.020,0.010,-0.016,0.004,-0.024,-0.019,0.020,-0.008,0.030,0.030,0.060,0.069,0.073
Na,CdTe,M_Cd,1.317,1.080,0.989,0.021,0.003,0.000,0.000,0.040,0.003,-0.030,0.004,-0.018,0.011,0.012,-0.015,-0.030,-0.008,0.014,0.014,0.011,0.009,0.007
La,CdSe,M_i_old,4.640,5.607,6.762,0.042,0.009,0.026,0.030,0.030,0.045,0.046,0.037,0.026,0.050,0.011,0.021,0.047,0.025,0.031,0.031,0.051,0.055,0.056
B,CdTe,M_i_Te_site,4.843,4.843,4.843,0.014,0.038,0.039,0.030,0.040,0.009,0.004,0.025,0.039,0.026,0.006,0.040,0.004,0.025,0.039,0.039,0.037,0.035,0.031
Fe,CdTe,M_i_Te_site,2.699,3.173,4.080,0.028,0.024,0.039,0.030,0.040,0.021,0.019,0.035,0.037,0.033,0.005,0.036,0.021,0.049,0.039,0.039,0.021,0.023,0.026
Mo,CdS,M_i_S_site,4.682,5.916,7.214,0.035,0.018,0.039,0.030,0.040,0.023,0.032,0.039,0.033,0.036,0.022,0.042,0.034,0.049,0.039,0.039,0.042,0.049,0.052
Sr,CdS,M_i_old,4.517,5.166,5.815,0.035,0.006,0.026,0.030,0.030,0.049,0.029,0.057,0.027,0.057,-0.038,0.019,0.031,0.016,0.041,0.040,0.053,0.055,0.053
La,CdTe,M_i_Cd_site,3.559,4.270,5.266,0.042,0.009,0.013,0.040,0.030,0.045,0.046,0.037,0.026,0.050,0.011,0.021,0.047,0.025,0.044,0.044,0.030,0.034,0.036
Cr,CdTe,M_Cd,0.983,1.148,1.440,0.028,0.018,0.000,0.000,0.040,-0.013,-0.020,-0.007,-0.010,-0.006,0.015,-0.001,-0.020,0.033,0.024,0.023,0.007,0.008,0.009
K,CdSe,M_Cd,1.942,1.626,1.650,0.028,0.003,0.000,0.000,0.040,0.022,-0.024,0.019,-0.022,0.023,0.011,0.017,0.024,0.008,0.003,0.003,0.018,0.015,0.013
Au,CdSe,M_Se,2.354,1.912,2.722,0.042,0.032,0.052,0.040,0.000,0.014,0.039,0.005,-0.002,0.001,0.006,0.000,0.037,0.025,0.020,0.020,0.018,0.014,0.018
Te,CdS,M_i_Cd_site,5.768,5.121,4.647,0.035,0.047,0.013,0.040,0.030,0.038,0.043,0.041,0.042,0.043,0.043,0.041,0.043,0.049,0.047,0.046,0.047,0.039,0.032
P,CdSe,M_i_Se_site,4.420,4.128,4.274,0.021,0.044,0.039,0.030,0.040,0.007,0.010,0.032,0.049,0.034,0.016,0.043,0.012,0.041,0.029,0.028,0.035,0.031,0.029
Pd,CdTe,M_Cd,2.693,1.745,1.736,0.035,0.029,0.000,0.000,0.040,-0.012,-0.002,-0.004,-0.003,-0.003,0.014,0.010,-0.002,0.016,0.021,0.021,0.020,0.012,0.010
Ge,CdTe,M_Cd,1.373,0.899,0.738,0.028,0.041,0.000,0.000,0.040,-0.016,-0.013,-0.006,-0.005,-0.003,0.027,0.006,-0.013,0.016,0.028,0.037,0.011,0.007,0.005
Mg,CdTe,M_i_old,3.189,3.286,3.761,0.021,0.006,0.026,0.030,0.030,0.028,0.008,0.041,0.036,0.043,-0.052,0.026,0.010,0.016,0.042,0.042,0.027,0.026,0.026
In,CdTe,M_i_Cd_site,2.553,2.173,2.844,0.035,0.038,0.013,0.040,0.030,0.031,0.038,0.043,0.027,0.044,0.007,0.035,0.040,0.025,0.042,0.041,0.020,0.016,0.019
Os,CdTe,M_i_Cd_site,5.862,5.862,5.862,0.042,0.024,0.013,0.040,0.030,0.024,0.064,0.038,0.041,0.036,0.025,0.043,0.062,0.066,0.030,0.030,0.044,0.041,0.036
Sc,CdTe,M_i_Cd_site,3.479,4.190,4.902,0.028,0.009,0.013,0.040,0.030,0.029,0.015,0.043,0.031,0.043,0.004,0.026,0.017,0.025,0.042,0.041,0.029,0.032,0.033
Ca,CdSe,M_Se,5.655,6.945,8.235,0.028,0.006,0.052,0.040,0.000,0.019,-0.013,0.017,-0.017,0.015,0.080,0.030,0.011,0.033,0.028,0.027,0.046,0.053,0.055
Si,CdTe,M_i_Cd_site,3.784,3.784,3.784,0.021,0.041,0.013,0.040,0.030,0.010,0.009,0.033,0.038,0.035,0.030,0.037,0.011,0.033,0.035,0.034,0.022,0.021,0.019
C,CdTe,M_i_Cd_site,6.861,6.861,6.861,0.014,0.041,0.013,0.040,0.030,0.006,0.004,0.023,0.053,0.024,0.028,0.050,0.005,0.033,0.029,0.029,0.052,0.049,0.044
Os,CdSe,M_i_Se_site,6.087,6.087,6.087,0.042,0.024,0.039,0.030,0.040,0.024,0.064,0.038,0.041,0.036,0.025,0.043,0.062,0.066,0.026,0.025,0.048,0.045,0.040
Ni,CdTe,M_Te,3.228,3.445,4.610,0.028,0.029,0.052,0.040,0.000,-0.011,-0.023,-0.006,-0.006,-0.009,-0.018,-0.004,-0.020,-0.025,0.019,0.024,0.026,0.027,0.031
