Li,CdTe,M_Cd,1.02E-02,2.21E-03,0.00E+00,-5.41E-03,-2.59E-02,-3.99E-03,-1.26E-02,1.20E-03,9.98E-03,-1.03E-02,-2.71E-02,-6.10E-03,0.00E+00,3.00E-02,9.40E-03,9.20E-03,8.82E-03,5.65E-03,3.79E-03
Na,CdTe,M_Cd,1.53E-02,2.21E-03,0.00E+00,1.99E-03,-2.20E-02,2.88E-03,-1.34E-02,8.11E-03,8.79E-03,-1.10E-02,-2.23E-02,-6.10E-03,0.00E+00,3.00E-02,1.07E-02,1.05E-02,8.20E-03,6.32E-03,5.05E-03
K,CdTe,M_Cd,2.04E-02,2.21E-03,0.00E+00,1.60E-02,-1.80E-02,1.37E-02,-1.62E-02,1.70E-02,8.07E-03,-1.26E-02,-1.75E-02,-6.10E-03,0.00E+00,3.00E-02,1.33E-02,1.31E-02,1.27E-02,1.05E-02,9.17E-03
Rb,CdTe,M_Cd,2.55E-02,2.21E-03,0.00E+00,1.88E-02,-6.62E-03,1.66E-02,-1.68E-02,1.95E-02,7.83E-03,-1.26E-02,-6.62E-03,1.22E-02,0.00E+00,3.00E-02,1.73E-02,1.70E-02,1.49E-02,1.25E-02,1.16E-02
Cs,CdTe,M_Cd,3.06E-02,2.21E-03,0.00E+00,2.25E-02,5.03E-03,2.08E-02,-1.78E-02,2.33E-02,7.59E-03,-1.30E-02,4.21E-03,-6.10E-03,0.00E+00,3.00E-02,1.61E-02,1.59E-02,1.74E-02,1.62E-02,1.40E-02
Be,CdTe,M_Cd,1.02E-02,4.41E-03,0.00E+00,-1.42E-02,-2.54E-02,-1.13E-02,1.15E-03,-7.28E-03,-4.01E-02,-1.74E-03,-2.65E-02,0.00E+00,0.00E+00,3.00E-02,1.23E-02,2.16E-02,5.17E-03,4.15E-03,3.04E-03
Mg,CdTe,M_Cd,1.53E-02,4.41E-03,0.00E+00,-6.55E-03,-2.16E-02,-1.11E-03,-4.70E-03,2.19E-03,-3.84E-02,-5.50E-03,-2.17E-02,0.00E+00,0.00E+00,3.00E-02,1.21E-02,2.31E-02,2.85E-03,6.09E-04,5.32E-04
Ca,CdTe,M_Cd,2.04E-02,4.41E-03,0.00E+00,1.42E-03,-1.78E-02,7.31E-03,-1.00E-02,9.49E-03,-2.60E-02,-9.98E-03,-1.69E-02,0.00E+00,0.00E+00,3.00E-02,1.13E-02,2.38E-02,5.02E-03,4.65E-03,4.03E-03
Sr,CdTe,M_Cd,2.55E-02,4.41E-03,0.00E+00,8.83E-03,-6.09E-03,1.11E-02,-1.15E-02,1.30E-02,-2.80E-02,-1.07E-02,-6.02E-03,0.00E+00,0.00E+00,3.00E-02,1.20E-02,2.38E-02,7.42E-03,6.87E-03,5.96E-03
Ba,CdTe,M_Cd,3.06E-02,4.41E-03,0.00E+00,1.34E-02,6.12E-03,1.26E-02,-1.32E-02,1.44E-02,-8.68E-03,-1.16E-02,4.81E-03,0.00E+00,0.00E+00,3.00E-02,1.27E-02,2.30E-02,1.05E-02,9.73E-03,8.43E-03
B,CdTe,M_Cd,1.02E-02,2.87E-02,0.00E+00,-2.05E-02,-2.50E-02,-1.31E-02,-2.43E-03,-1.00E-02,4.51E-03,5.06E-03,-2.59E-02,6.10E-03,0.00E+00,3.00E-02,2.66E-02,2.63E-02,2.21E-02,1.79E-02,1.33E-02
Al,CdTe,M_Cd,1.53E-02,2.87E-02,0.00E+00,-1.17E-02,-2.10E-02,-5.10E-03,-1.05E-02,-1.16E-03,7.51E-03,-1.16E-03,-2.11E-02,6.10E-03,0.00E+00,3.00E-02,2.86E-02,2.82E-02,5.91E-03,5.14E-03,5.66E-03
Ga,CdTe,M_Cd,2.04E-02,2.87E-02,0.00E+00,-9.40E-03,-1.05E-02,-3.32E-03,-1.04E-02,-1.56E-03,4.84E-03,1.74E-03,-1.02E-02,6.10E-03,0.00E+00,3.00E-02,2.45E-02,2.41E-02,4.92E-03,4.08E-03,3.99E-03
In,CdTe,M_Cd,2.55E-02,2.87E-02,0.00E+00,-4.27E-03,5.92E-04,6.65E-04,-1.12E-02,3.37E-03,4.84E-03,1.30E-03,6.02E-04,6.10E-03,0.00E+00,3.00E-02,2.68E-02,2.65E-02,9.17E-03,3.89E-03,4.29E-03
Tl,CdTe,M_Cd,3.06E-02,2.87E-02,0.00E+00,1.82E-02,2.26E-02,1.55E-03,-1.01E-02,4.36E-03,5.01E-03,5.06E-03,1.99E-02,6.10E-03,0.00E+00,3.00E-02,2.30E-02,2.27E-02,7.39E-03,5.38E-03,3.71E-03
C,CdTe,M_Cd,1.02E-02,3.09E-02,0.00E+00,-2.25E-02,-2.47E-02,-1.42E-02,7.91E-03,-1.14E-02,2.04E-02,1.24E-02,-2.53E-02,1.22E-02,0.00E+00,3.00E-02,2.33E-02,2.79E-02,3.47E-02,2.96E-02,2.34E-02
Si,CdTe,M_Cd,1.53E-02,3.09E-02,0.00E+00,-1.97E-02,-2.07E-02,-6.65E-03,-2.94E-03,-3.33E-03,2.23E-02,3.04E-03,-2.05E-02,1.22E-02,0.00E+00,3.00E-02,2.35E-02,2.71E-02,1.30E-02,9.45E-03,5.97E-03
Ge,CdTe,M_Cd,2.04E-02,3.09E-02,0.00E+00,-1.20E-02,-9.78E-03,-4.21E-03,-3.82E-03,-2.35E-03,2.00E-02,4.63E-03,-9.63E-03,1.22E-02,0.00E+00,3.00E-02,2.14E-02,2.82E-02,7.97E-03,4.83E-03,3.44E-03
